vehicle_id,start_front_x,start_front_y,start_rear_x,start_rear_y,end_front_x,end_front_y,end_rear_x,end_rear_y,vehicle_length,vehicle_breadth,initial_orientation_deg
12,1132.4225,614.986,1107.9775,601.2745,1278.1365,692.648,1253.6915,678.9365,28.02790140645582,12.28113584192363,29.288600896117778
6,1364.4595,405.2435,1356.4965,363.4275,1172.857,756.9815,1210.476,773.0160000000001,41.7305694957711,14.741278224793149,79.2182836246752
5,1905.0,1266.5839999999998,1918.75,1289.428,1560.606,961.173,1584.2424999999998,976.3325,27.3715283826224,15.00567775100508,-121.04409660892244
7,1373.0304999999998,445.6075,1373.0304999999998,424.919,1220.9525,592.6985,1224.7615,605.4035,16.976095633004473,8.737515588924076,90.0
10,1151.429,727.7825,1178.5715,721.749,705.0,509.923,731.212,522.578,28.456008094223,12.334483148144844,167.4675044336041
8,1382.857,531.6034999999999,1377.3805,509.3675,1374.286,1376.843,1374.524,1352.8195,23.46257687386816,10.855095938562531,76.16400468002958
4,1353.095,252.044,1352.143,225.839,1450.0,905.7095,1428.9585,891.1855,25.894837135861152,11.055943288292449,87.91941977477346
13,1241.1905,868.6965,1240.9525,868.6959999999999,1427.424,992.388,1422.4245,971.946,10.641242944775662,13.851393987895769,0.12036910763193942
11,958.6275,633.386,984.3135,649.473,8.3245,134.93,34.0105,151.017,30.30779050013375,13.140284752915456,-147.94131337472524
9,1378.0235,780.933,1378.6115,738.4390000000001,1377.4675,1496.326,1378.0555,1453.832,42.49806795608481,17.063590123900312,90.79276529402465
