frame_name,category_id,x,y
DJI_0010_MP4-0001,12,1288.548,686.808
DJI_0010_MP4-0001,12,1296.304,694.826
DJI_0010_MP4-0001,12,1272.65,712.937
DJI_0010_MP4-0001,12,1265.412,703.367
DJI_0010_MP4-0001,6,1793.298,735.773
DJI_0010_MP4-0001,6,1794.077,726.029
DJI_0010_MP4-0001,6,1814.333,727.202
DJI_0010_MP4-0001,6,1814.723,736.552
DJI_0010_MP4-0001,7,1368.268,166.118
DJI_0010_MP4-0001,7,1357.965,166.26
DJI_0010_MP4-0001,7,1357.965,187.484
DJI_0010_MP4-0001,7,1368.268,186.271
DJI_0010_MP4-0001,10,906.386,619.105
DJI_0010_MP4-0001,10,897.186,627.066
DJI_0010_MP4-0001,10,912.821,642.603
DJI_0010_MP4-0001,10,922.798,634.282
DJI_0010_MP4-0001,8,1336.891,687.995
DJI_0010_MP4-0001,8,1331.245,682.347
DJI_0010_MP4-0001,8,1319.249,692.467
DJI_0010_MP4-0001,8,1325.129,698.115
DJI_0010_MP4-0001,4,1358.597,290.203
DJI_0010_MP4-0001,4,1374.314,291.422
DJI_0010_MP4-0001,4,1369.073,314.978
DJI_0010_MP4-0001,4,1354.487,312.087
DJI_0010_MP4-0001,13,1442.053,1037.148
DJI_0010_MP4-0001,13,1461.792,1025.467
DJI_0010_MP4-0001,13,1455.036,1018.886
DJI_0010_MP4-0001,13,1435.269,1030.547
DJI_0010_MP4-0001,11,503.402,340.3
DJI_0010_MP4-0001,11,498.415,347.161
DJI_0010_MP4-0001,11,483.768,338.429
DJI_0010_MP4-0001,11,489.222,331.101
DJI_0010_MP4-0001,5,1413.963,807.327
DJI_0010_MP4-0001,5,1404.23,807.327
DJI_0010_MP4-0001,5,1404.23,827.247
DJI_0010_MP4-0001,5,1414.516,828.13
DJI_0010_MP4-0001,9,2333.2,693.397
DJI_0010_MP4-0001,9,2304.084,698.195
DJI_0010_MP4-0001,9,2302.371,685.857
DJI_0010_MP4-0001,9,2331.144,681.058
DJI_0010_MP4-0030,12,1074.541,688.497
DJI_0010_MP4-0030,12,1069.356,698.873
DJI_0010_MP4-0030,12,1044.17,685.532
DJI_0010_MP4-0030,12,1050.837,674.415
DJI_0010_MP4-0030,5,1426.991,1057.961
DJI_0010_MP4-0030,5,1417.158,1057.785
DJI_0010_MP4-0030,5,1415.402,1080.449
DJI_0010_MP4-0030,5,1425.411,1080.449
DJI_0010_MP4-0030,4,1374.249,1182.416
DJI_0010_MP4-0030,4,1390.077,1182.746
DJI_0010_MP4-0030,4,1389.088,1208.481
DJI_0010_MP4-0030,4,1373.259,1207.821
DJI_0010_MP4-0030,6,2592.654,575.619
DJI_0010_MP4-0030,6,2595.966,586.338
DJI_0010_MP4-0030,6,2617.002,582.245
DJI_0010_MP4-0030,6,2613.691,571.916
DJI_0010_MP4-0030,9,1609.767,829.395
DJI_0010_MP4-0030,9,1610.258,841.507
DJI_0010_MP4-0030,9,1637.086,839.871
DJI_0010_MP4-0030,9,1636.922,827.762
DJI_0010_MP4-0030,8,1262.795,554.004
DJI_0010_MP4-0030,8,1269.884,553.681
DJI_0010_MP4-0030,8,1270.314,569.481
DJI_0010_MP4-0030,8,1262.58,569.481
DJI_0010_MP4-0030,13,1371.917,1421.161
DJI_0010_MP4-0030,13,1380.584,1421.161
DJI_0010_MP4-0030,13,1381.189,1440.32
DJI_0010_MP4-0030,13,1372.925,1440.118
DJI_0010_MP4-0030,7,1671.518,647.961
DJI_0010_MP4-0030,7,1668.345,656.69
DJI_0010_MP4-0030,7,1685.99,661.252
DJI_0010_MP4-0030,7,1687.775,653.516
DJI_0010_MP4-0030,10,346.524,327.767
DJI_0010_MP4-0030,10,339.422,339.206
DJI_0010_MP4-0030,10,317.943,326.901
DJI_0010_MP4-0030,10,324.698,315.982
DJI_0010_MP4-0030,11,1250.254,219.942
DJI_0010_MP4-0030,11,1258.777,223.757
DJI_0010_MP4-0030,11,1249.805,242.384
DJI_0010_MP4-0030,11,1241.955,237.223
